word,n
rush,96
very,96
wants,96
doubt,95
en,95
guys,95
hearts,95
men,95
rappers,95
spit,95
cake,94
el,94
lines,94
mother,94
pink,94
wit,94
chick,93
earth,93
happen,93
keeps,93
nasty,93
nicki,93
paint,93
plug,93
savage,93
worried,93
ay,92
church,92
mom,92
se,92
sold,92
beef,91
drake,91
flight,91
friday,91
mike,91
rapper,91
sense,91
sent,91
stack,91
throwin,91
tv,91
u,91
50,90
color,90
flex,90
hours,90
lick,90
pill,90
price,90
private,90
proud,90
shows,90
toes,90
bread,89
its,89
looked,89
loose,89
means,89
molly,89
patek,89
post,89
shorty,89
sunday,89
weekend,89
bite,88
class,88
died,88
drinking,88
faded,88
harder,88
keys,88
legs,88
nose,88
thirty,88
whiskey,88
beer,87
hurts,87
it'll,87
kept,87
near,87
spin,87
state,87
thick,87
demons,86
ends,86
haha,86
killin,86
lead,86
learned,86
lucky,86
shame,86
shouldn't,86
storm,86
table,86
tough,86
eight,85
es,85
givin,85
guns,85
lover,85
main,85
michael,85
miles,85
quarter,85
river,85
worst,85
across,84
anybody,84
barely,84
crew,84
either,84
millions,84
numbers,84
plane,84
pride,84
scene,84
shoulder,84
swag,84
un,84
vibe,84
which,84
21,83
admit,83
brothers,83
chris,83
clouds,83
dad,83
dime,83
drug,83
grown,83
liquor,83
losing,83
moves,83
naked,83
remind,83
rules,83
self,83
should've,83
slip,83
threw,83
tip,83
wrote,83
youâ,83
8,82
built,82
cap,82
insane,82
memories,82
plans,82
snow,82
south,82
they'll,82
7,81
bags,81
burning,81
chopper,81
having,81
heavy,81
hello,81
juice,81
lane,81
wraith,81
anyway,80
carry,80
east,80
forgot,80
jay,80
stage,80
steady,80
f,79
fallin,79
goddamn,79
handle,79
jesus,79
mil,79
pressure,79
somehow,79
whenever,79
windows,79
york,79
bars,78
bein,78
children,78
date,78
drippin,78
driving,78
pills,78
pullin,78
breaking,77
drown,77
fingers,77
grew,77
human,77
leavin,77
lift,77
list,77
longer,77
memory,77
mo,77
record,77
speed,77
standin,77
tree,77
tu,77
beast,76
bleed,76
blowin,76
chanel,76
don,76
hanging,76
here's,76
hour,76
jail,76
maybach,76
mistakes,76
race,76
ray,76
rocks,76
she'll,76
short,76
si,76
sight,76
tall,76
tie,76
uzi,76
view,76
bullshit,75
busy,75
candy,75
choose,75
crown,75
crying,75
dust,75
grind,75
happened,75
holdin,75
saint,75
sauce,75
shootin,75
answer,74
brick,74
cat,74
clip,74
closed,74
feed,74
finish,74
forgive,74
guitar,74
homies,74
luck,74
match,74
teach,74
11,73
anyone,73
ap,73
arm,73
fighting,73
judge,73
killing,73
level,73
screamin,73
sin,73
squad,73
stone,73
stuff,73
that'll,73
theâ,73
welcome,73
album,72
birthday,72
bus,72
christmas,72
daughter,72
ear,72
fade,72
flame,72
food,72
foot,72
haven't,72
loves,72
mornin,72
plenty,72
sã,72
fan,71
instead,71
lyin,71
opps,71
places,71
rise,71
sleeping,71
weak,71
ago,70
bunch,70
codeine,70
conversation,70
dancin,70
drama,70
drank,70
everyday,70
hill,70
hip,70
